Issue Type,Summary,Priority,Component,Fix Version,Labels,Description
Test,TC-11-06 ดึงหลายครั้งต่อวัน,High,TS-11,Lot 2,"Lot2,TS-11,Positive","*Lot:* 2
*Trace:* 03-01.1
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
ดึงซ้ำหลายครั้ง

*Expected Result:*
ไม่จำกัดจำนวนครั้ง

*Test Data:*
"
Test,TC-11-07 LC แก้ข้อมูลใน OSSS → auto update,High,TS-11,Lot 2,"Lot2,TS-11,Positive","*Lot:* 2
*Trace:* 03-01.4
*Type:* Positive

*Pre-condition:*
LC มีในระบบ

*Test Steps:*
แก้คุณวุฒิใน OSSS

*Expected Result:*
MCMP อัปเดตอัตโนมัติ

*Test Data:*
"
Test,TC-12-01 Lead จาก Website (auto),Highest,TS-12,Lot 2,"Lot2,TS-12,Positive","*Lot:* 2
*Trace:* 03-05.1
*Type:* Positive

*Pre-condition:*
เชื่อมเว็บไซต์

*Test Steps:*
submit web form

*Expected Result:*
บันทึกเข้าระบบอัตโนมัติ

*Test Data:*
"
Test,TC-12-02 Lead จาก Facebook (manual),Highest,TS-12,Lot 2,"Lot2,TS-12,Positive","*Lot:* 2
*Trace:* 03-05.2
*Type:* Positive

*Pre-condition:*
สิทธิ์ User

*Test Steps:*
บันทึกทีละราย

*Expected Result:*
บันทึกสำเร็จ

*Test Data:*
"
Test,TC-12-03 Contact Center ผ่าน VPN/VDI (WFH),High,TS-12,Lot 2,"Lot2,TS-12,Positive","*Lot:* 2
*Trace:* 03-05.3
*Type:* Positive

*Pre-condition:*
WFH + VPN

*Test Steps:*
บันทึก Lead

*Expected Result:*
บันทึกได้

*Test Data:*
"
Test,TC-12-04 บันทึก Contact Center ไม่ผ่าน VPN (WFH),High,TS-12,Lot 2,"Lot2,TS-12,Negative","*Lot:* 2
*Trace:* 03-05.3
*Type:* Negative

*Pre-condition:*
WFH ไม่ต่อ VPN

*Test Steps:*
พยายามบันทึก

*Expected Result:*
ไม่สามารถบันทึก

*Test Data:*
"
Test,TC-12-05 Import Lead Excel/CSV (CRM),Highest,TS-12,Lot 2,"Lot2,TS-12,Positive","*Lot:* 2
*Trace:* 03-05.4
*Type:* Positive

*Pre-condition:*
มีไฟล์

*Test Steps:*
Import

*Expected Result:*
นำเข้าหลายรายการ

*Test Data:*
ไฟล์ Lead CRM"
Test,TC-12-06 Dedup 1 ช่องทาง — ยึดล่าสุด #2,Highest,TS-12,Lot 2,"Lot2,TS-12,Positive","*Lot:* 2
*Trace:* 03-05.6.1
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
กรอกซ้ำ 2 ครั้งจาก Web

*Expected Result:*
เก็บข้อมูล #2 (ล่าสุด)

*Test Data:*
Lead ซ้ำ Web"
Test,TC-12-07 Dedup 1 ช่องทาง — แบบประกันต่างกัน,Highest,TS-12,Lot 2,"Lot2,TS-12,Positive","*Lot:* 2
*Trace:* 03-05.6.1
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
#1 และ #2 แบบประกันต่างกัน

*Expected Result:*
แสดงทั้ง 2 แบบประกัน

*Test Data:*
"
Test,TC-12-08 Dedup 1 ช่องทาง — แบบประกันเดียวกัน,High,TS-12,Lot 2,"Lot2,TS-12,Positive","*Lot:* 2
*Trace:* 03-05.6.1
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
#1=#2 แบบประกันเดียวกัน

*Expected Result:*
แสดงแบบประกันเดียว

*Test Data:*
"
Test,TC-12-09 Dedup 2 ช่องทาง (Web+FB),Highest,TS-12,Lot 2,"Lot2,TS-12,Positive","*Lot:* 2
*Trace:* 03-05.6.2
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
เบอร์เดียวกันจาก Web และ FB

*Expected Result:*
ยึดล่าสุด + ระบุว่ามาจาก 2 ช่องทาง

*Test Data:*
Lead Web+FB"
Test,TC-12-10 Dedup 2 ช่องทาง — แบบประกันต่างกัน,High,TS-12,Lot 2,"Lot2,TS-12,Positive","*Lot:* 2
*Trace:* 03-05.6.2
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
แบบประกันต่างกัน

*Expected Result:*
แสดงทั้ง 2 แบบประกัน

*Test Data:*
"
Test,TC-12-11 Lead ซ้ำ assign LC คนเดียว,Highest,TS-12,Lot 2,"Lot2,TS-12,Positive","*Lot:* 2
*Trace:* 03-05.6
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
Lead ซ้ำหลายครั้ง

*Expected Result:*
assign LC คนเดียวกัน

*Test Data:*
"
Test,TC-12-12 นับจำนวนครั้ง/ช่องทางที่ฝาก Lead,High,TS-12,Lot 2,"Lot2,TS-12,Positive","*Lot:* 2
*Trace:* 03-05.6
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
ฝาก 3 ครั้ง

*Expected Result:*
แสดงจำนวนครั้ง + ช่องทาง

*Test Data:*
"
Test,TC-13-01 ลูกค้าซื้อผ่าน Online,High,TS-13,Lot 2,"Lot2,TS-13,Positive","*Lot:* 2
*Trace:* 03-06
*Type:* Positive

*Pre-condition:*
Lead บันทึกแล้ว

*Test Steps:*
เลือกช่องทาง Online

*Expected Result:*
ระบบส่งข้อมูลไป Google Sheet Digital Sale → 03-07

*Test Data:*
"
Test,TC-13-02 ลูกค้าซื้อผ่านตัวแทน,High,TS-13,Lot 2,"Lot2,TS-13,Positive","*Lot:* 2
*Trace:* 03-06
*Type:* Positive

*Pre-condition:*
Lead บันทึกแล้ว

*Test Steps:*
เลือกช่องทางตัวแทน

*Expected Result:*
เข้าสู่เงื่อนไข Auto Assign 03-08

*Test Data:*
"
Test,TC-13-03 ส่ง Email ให้ Digital Sale (Realtime),High,TS-13,Lot 2,"Lot2,TS-13,Positive","*Lot:* 2
*Trace:* 03-07
*Type:* Positive

*Pre-condition:*
Lead online

*Test Steps:*
บันทึก Lead online

*Expected Result:*
ส่ง Email Realtime (ชื่อ, เบอร์, ช่วงเวลา, จังหวัด, อีเมล, แบบประกัน)

*Test Data:*
"
Test,TC-13-04 ข้อมูลใน Email Digital Sale ครบถ้วน,Medium,TS-13,Lot 2,"Lot2,TS-13,Positive","*Lot:* 2
*Trace:* 03-07
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
ตรวจเนื้อหา Email

*Expected Result:*
มีข้อมูลครบตาม BRD

*Test Data:*
"
Test,TC-14-01 Assign ตามจังหวัด (ลำดับ 1),Highest,TS-14,Lot 2,"Lot2,TS-14,Positive","*Lot:* 2
*Trace:* 03-08.3.1
*Type:* Positive

*Pre-condition:*
มี LC จังหวัด A

*Test Steps:*
Lead จังหวัด A เข้าระบบ

*Expected Result:*
assign ให้ LC จังหวัด A

*Test Data:*
LC จังหวัด A"
Test,TC-14-02 ผลงานทุกงวด > บางงวด,Highest,TS-14,Lot 2,"Lot2,TS-14,Positive","*Lot:* 2
*Trace:* 03-08.3.2/3
*Type:* Positive

*Pre-condition:*
2 LC จังหวัดเดียวกัน

*Test Steps:*
Lead เข้า

*Expected Result:*
เลือก LC ผลงานทุกงวดก่อน

*Test Data:*
LC ผลงานต่างระดับ"
Test,TC-14-03 Tie-break จำนวนกรมธรรม์ใหม่ 3 งวด (ไม่รวม PA),Highest,TS-14,Lot 2,"Lot2,TS-14,Positive","*Lot:* 2
*Trace:* 03-08
*Type:* Positive

*Pre-condition:*
ผลงานเท่ากัน

*Test Steps:*
Lead เข้า

*Expected Result:*
เรียงตามจำนวนกรมธรรม์ใหม่มาก→น้อย

*Test Data:*
LC กรมธรรม์ต่างกัน"
Test,TC-14-04 Tie-break รายได้สะสม 3 งวด,High,TS-14,Lot 2,"Lot2,TS-14,Positive","*Lot:* 2
*Trace:* 03-08
*Type:* Positive

*Pre-condition:*
จำนวนกรมธรรม์เท่ากัน

*Test Steps:*
Lead เข้า

*Expected Result:*
เรียงตามรายได้สะสมมาก→น้อย

*Test Data:*
"
Test,TC-14-05 Round Robin — LC ล่าสุดไปท้ายคิว,Highest,TS-14,Lot 2,"Lot2,TS-14,Positive","*Lot:* 2
*Trace:* 03-08
*Type:* Positive

*Pre-condition:*
มีหลาย LC ในคิว

*Test Steps:*
assign Lead ติดกันหลายราย

*Expected Result:*
กระจายหมุนเวียน ไม่กระจุก

*Test Data:*
"
Test,TC-14-06 Assign Near-realtime,Highest,TS-14,Lot 2,"Lot2,TS-14,Positive","*Lot:* 2
*Trace:* 03-08
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
บันทึก Lead

*Expected Result:*
assign ภายในเวลาสั้น

*Test Data:*
"
Test,TC-14-07 Assign ในวันหยุด,Highest,TS-14,Lot 2,"Lot2,TS-14,Positive","*Lot:* 2
*Trace:* 03-08
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
บันทึก Lead วันหยุด

*Expected Result:*
ยัง assign ได้เหมือนวันทำการ

*Test Data:*
"
Test,TC-14-08 ไม่พบ candidate → Email การตลาด,Highest,TS-14,Lot 2,"Lot2,TS-14,Negative","*Lot:* 2
*Trace:* 03-08
*Type:* Negative

*Pre-condition:*
Lead จังหวัดไม่มี LC

*Test Steps:*
Lead เข้า

*Expected Result:*
ส่ง Email ให้การตลาด Manual Assign

*Test Data:*
Lead จังหวัดไม่มี LC"
Test,TC-14-09 พบ candidate >1 → ตามเงื่อนไข/Manual,Highest,TS-14,Lot 2,"Lot2,TS-14,Positive","*Lot:* 2
*Trace:* 03-08
*Type:* Positive

*Pre-condition:*
หลาย LC เข้าเงื่อนไข

*Test Steps:*
Lead เข้า

*Expected Result:*
ใช้เกณฑ์ลำดับ หรือเข้าสู่ Manual Assign

*Test Data:*
"
Test,TC-14-10 Lead Scoring = Hot,Highest,TS-14,Lot 2,"Lot2,TS-14,Positive","*Lot:* 2
*Trace:* 03-08
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
Lead ระบุช่วงเวลา 09:00-12:00

*Expected Result:*
Scoring = Hot Lead

*Test Data:*
Lead Hot"
Test,TC-14-11 Lead Scoring = Warm,Highest,TS-14,Lot 2,"Lot2,TS-14,Positive","*Lot:* 2
*Trace:* 03-08
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
Lead ไม่ระบุช่วงเวลา

*Expected Result:*
Scoring = Warm Lead

*Test Data:*
Lead Warm"
Test,TC-14-12 Assign LC คนเดียวต่อ 1 Lead,Highest,TS-14,Lot 2,"Lot2,TS-14,Positive","*Lot:* 2
*Trace:* 03-08
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
Lead ใหม่

*Expected Result:*
assign 1 LC เท่านั้น

*Test Data:*
"
Test,TC-14-13 Dedup เบอร์ทุกช่องทาง/ทุกเวลา,Highest,TS-14,Lot 2,"Lot2,TS-14,Positive","*Lot:* 2
*Trace:* 03-08
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
เบอร์ซ้ำเข้าหลายช่องทาง

*Expected Result:*
จับได้ว่าเป็น Lead ซ้ำ

*Test Data:*
"
Test,TC-14-14 Notify New Lead หลัง assign,Highest,TS-14,Lot 2,"Lot2,TS-14,Positive","*Lot:* 2
*Trace:* 03-08→03-10
*Type:* Positive

*Pre-condition:*
assign สำเร็จ

*Test Steps:*
ตรวจ LC Connect

*Expected Result:*
แจ้งเตือน LC ผ่าน LC Connect

*Test Data:*
"
Test,TC-15-01 แสดงรายการ Lead ที่ยังไม่มี LC,High,TS-15,Lot 2,"Lot2,TS-15,Positive","*Lot:* 2
*Trace:* 03-09.1
*Type:* Positive

*Pre-condition:*
มี Lead ค้าง

*Test Steps:*
เปิดหน้า Manual Assign

*Expected Result:*
แสดงข้อมูล Lead ครบ

*Test Data:*
"
Test,TC-15-02 เลือก Lead + LC + Assign,Highest,TS-15,Lot 2,"Lot2,TS-15,Positive","*Lot:* 2
*Trace:* 03-09.2/3
*Type:* Positive

*Pre-condition:*
มี Lead + LC

*Test Steps:*
เลือก Lead, เลือก LC, Assign

*Expected Result:*
assign สำเร็จ

*Test Data:*
"
Test,TC-15-03 บันทึก Agent Code + วันเวลา + ผู้ assign,Highest,TS-15,Lot 2,"Lot2,TS-15,Positive","*Lot:* 2
*Trace:* 03-09.4
*Type:* Positive

*Pre-condition:*
assign แล้ว

*Test Steps:*
ตรวจ audit log

*Expected Result:*
บันทึกครบ

*Test Data:*
"
Test,TC-15-04 แจ้งเตือน New Lead หลัง Manual Assign,Highest,TS-15,Lot 2,"Lot2,TS-15,Positive","*Lot:* 2
*Trace:* 03-09.5
*Type:* Positive

*Pre-condition:*
assign สำเร็จ

*Test Steps:*
ตรวจ LC Connect

*Expected Result:*
LC ได้รับแจ้งเตือน

*Test Data:*
"
Test,TC-15-05 Assign Lead ที่มี LC อยู่แล้ว (ซ้ำ),High,TS-15,Lot 2,"Lot2,TS-15,Negative","*Lot:* 2
*Trace:* 03-09
*Type:* Negative

*Pre-condition:*
Lead มี LC แล้ว

*Test Steps:*
พยายาม assign ซ้ำ

*Expected Result:*
ป้องกัน/เตือน

*Test Data:*
"
Test,TC-16-01 เข้าถึง Lead จากเมนู My Lead,High,TS-16,Lot 2,"Lot2,TS-16,Positive","*Lot:* 2
*Trace:* 03-11.1
*Type:* Positive

*Pre-condition:*
LC มี Lead

*Test Steps:*
เปิด My Lead

*Expected Result:*
เห็นรายการ Lead

*Test Data:*
"
Test,TC-16-02 เข้าถึง Lead จาก Notification,High,TS-16,Lot 2,"Lot2,TS-16,Positive","*Lot:* 2
*Trace:* 03-11.1
*Type:* Positive

*Pre-condition:*
มีแจ้งเตือน

*Test Steps:*
กดแจ้งเตือน

*Expected Result:*
เข้าหน้า Lead

*Test Data:*
"
Test,TC-16-03 Lead Status ถูกต้อง,High,TS-16,Lot 2,"Lot2,TS-16,Positive","*Lot:* 2
*Trace:* 03-11.2
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
ดูรายการ

*Expected Result:*
แสดงสถานะ ยังไม่ติดต่อ/ติดต่อแล้ว ถูกต้อง

*Test Data:*
"
Test,TC-16-04 ปุ่มโทรออกจาก Lead Detail,High,TS-16,Lot 2,"Lot2,TS-16,Positive","*Lot:* 2
*Trace:* 03-11.3
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
กดปุ่มโทร

*Expected Result:*
โทรออกได้

*Test Data:*
"
Test,TC-16-05 ข้อความแจ้งเตือน New Lead ถูกต้อง,High,TS-16,Lot 2,"Lot2,TS-16,Positive","*Lot:* 2
*Trace:* 03-10.1
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
ดูข้อความแจ้งเตือน

*Expected Result:*
""Lead ใหม่: คุณ[ชื่อ] สนใจ[แบบประกัน]...""

*Test Data:*
"
Test,TC-16-06 UI ตรงตาม Mockup หน้า 7,Medium,TS-16,Lot 2,"Lot2,TS-16,Positive","*Lot:* 2
*Trace:* 03-11.4
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
เทียบ Mockup

*Expected Result:*
UI ตรง Mock Up - Lead Management.pdf

*Test Data:*
"
Test,TC-17-01 Hot — เริ่มนับ SLA จากเวลานัด,Highest,TS-17,Lot 2,"Lot2,TS-17,Positive","*Lot:* 2
*Trace:* 03-12.1
*Type:* Positive

*Pre-condition:*
Lead Hot

*Test Steps:*
นัด 13:00, LC บันทึกผล 13:30

*Expected Result:*
ผ่าน SLA

*Test Data:*
Hot นัด 13:00"
Test,TC-17-02 Hot — เกิน 24 ชม.,Highest,TS-17,Lot 2,"Lot2,TS-17,Boundary","*Lot:* 2
*Trace:* 03-12
*Type:* Boundary

*Pre-condition:*
Lead Hot

*Test Steps:*
นัด 13:00 D1, บันทึก 14:00 D2

*Expected Result:*
เกิน SLA → ดึง Lead คืน

*Test Data:*
"
Test,TC-17-03 Hot — ครบ 24 ชม. พอดี,Highest,TS-17,Lot 2,"Lot2,TS-17,Boundary","*Lot:* 2
*Trace:* 03-12
*Type:* Boundary

*Pre-condition:*
Lead Hot

*Test Steps:*
นัด 13:00 D1, บันทึก 13:00 D2

*Expected Result:*
ตรวจ behavior ที่ขอบเขต (ต้อง clarify inclusive/exclusive)

*Test Data:*
"
Test,TC-17-04 Warm — assign ในเวลา 9-18,Highest,TS-17,Lot 2,"Lot2,TS-17,Positive","*Lot:* 2
*Trace:* 03-12.1
*Type:* Positive

*Pre-condition:*
Lead Warm

*Test Steps:*
assign 10:00, บันทึก 12:00

*Expected Result:*
นับจาก 10:00 ผ่าน SLA

*Test Data:*
Warm assign 10:00"
Test,TC-17-05 Warm — assign 07:00 (ก่อน 9:00),Highest,TS-17,Lot 2,"Lot2,TS-17,Boundary","*Lot:* 2
*Trace:* 03-12
*Type:* Boundary

*Pre-condition:*
Lead Warm

*Test Steps:*
assign 07:00

*Expected Result:*
SLA เริ่มนับ 09:00 วันเดียวกัน

*Test Data:*
Warm assign 07:00"
Test,TC-17-06 Warm — assign 19:00 (หลัง 18:00),Highest,TS-17,Lot 2,"Lot2,TS-17,Boundary","*Lot:* 2
*Trace:* 03-12
*Type:* Boundary

*Pre-condition:*
Lead Warm

*Test Steps:*
assign 19:00

*Expected Result:*
SLA เริ่มนับ 09:00 วันถัดไป

*Test Data:*
Warm assign 19:00"
Test,TC-17-07 Warm — assign 18:00 พอดี,High,TS-17,Lot 2,"Lot2,TS-17,Boundary","*Lot:* 2
*Trace:* 03-12
*Type:* Boundary

*Pre-condition:*
Lead Warm

*Test Steps:*
assign 18:00

*Expected Result:*
ระบุชัดว่าเริ่มนับเมื่อใด (ขอบเขต)

*Test Data:*
"
Test,TC-17-08 ติดต่อตาม SLA → ไป 03-13,Highest,TS-17,Lot 2,"Lot2,TS-17,Positive","*Lot:* 2
*Trace:* 03-12.2
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
บันทึกผลในเวลา

*Expected Result:*
ดำเนินต่อบันทึกผล

*Test Data:*
"
Test,TC-17-09 ไม่ติดต่อใน SLA → ดึง Lead คืน auto,Highest,TS-17,Lot 2,"Lot2,TS-17,Negative","*Lot:* 2
*Trace:* 03-12.3
*Type:* Negative

*Pre-condition:*
-

*Test Steps:*
ปล่อยเกิน SLA

*Expected Result:*
ระบบดึง Lead คืน Re-assign ตาม 03-08

*Test Data:*
"
Test,TC-17-10 ระงับ LC 5 วัน,High,TS-17,Lot 2,"Lot2,TS-17,Positive","*Lot:* 2
*Trace:* 03-12.3
*Type:* Positive

*Pre-condition:*
LC เกิน SLA

*Test Steps:*
เลือก 5 วัน

*Expected Result:*
LC ไม่ได้รับ Lead 5 วัน

*Test Data:*
"
Test,TC-17-11 ระงับ LC ถาวร,High,TS-17,Lot 2,"Lot2,TS-17,Boundary","*Lot:* 2
*Trace:* 03-12.3
*Type:* Boundary

*Pre-condition:*
LC เกิน SLA

*Test Steps:*
เลือกถาวร

*Expected Result:*
LC ไม่ได้รับ Lead จนกว่าจะปลด

*Test Data:*
"
Test,TC-17-12 Re-assign LC ใหม่ก็ไม่ติดต่อ → Email 09:00,Highest,TS-17,Lot 2,"Lot2,TS-17,Negative","*Lot:* 2
*Trace:* 03-12.4
*Type:* Negative

*Pre-condition:*
LC ใหม่เกิน SLA

*Test Steps:*
รอ

*Expected Result:*
Email แจ้งการตลาด 09:00 ทุกวัน

*Test Data:*
"
Test,TC-17-13 นับ SLA ข้ามวันหยุด,High,TS-17,Lot 2,"Lot2,TS-17,Boundary","*Lot:* 2
*Trace:* 03-12
*Type:* Boundary

*Pre-condition:*
SLA คร่อมวันหยุด

*Test Steps:*
รอ

*Expected Result:*
ตรวจการนับ 24 ชม. ต่อเนื่อง (ต้อง clarify)

*Test Data:*
"
Test,TC-17-14 ติดต่อได้ + นัดใหม่ → SLA เริ่มจากวันนัด,Highest,TS-17,Lot 2,"Lot2,TS-17,Positive","*Lot:* 2
*Trace:* 03-13/03-12
*Type:* Positive

*Pre-condition:*
บันทึกผล ""ติดต่อได้""

*Test Steps:*
นัดวันใหม่

*Expected Result:*
SLA เริ่มจากวันนัด 9-18 ภายใน 24 ชม.

*Test Data:*
"
Test,TC-18-01 ติดต่อได้: ขอตัดสินใจก่อน + Calendar,Highest,TS-18,Lot 2,"Lot2,TS-18,Positive","*Lot:* 2
*Trace:* 03-13.1.1
*Type:* Positive

*Pre-condition:*
Lead assign แล้ว

*Test Steps:*
เลือกเหตุผล + นัดวัน

*Expected Result:*
บันทึก + แจ้งเตือนล่วงหน้า 1 ชม. ก่อนนัด

*Test Data:*
"
Test,TC-18-02 ติดต่อได้: ไม่ซื้อ + เหตุผล,High,TS-18,Lot 2,"Lot2,TS-18,Positive","*Lot:* 2
*Trace:* 03-13.1.2
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
เลือกเหตุผลไม่ซื้อ

*Expected Result:*
บันทึกผล

*Test Data:*
"
Test,TC-18-03 ซื้อ — พบใบคำขอ+กรมธรรม์,Highest,TS-18,Lot 2,"Lot2,TS-18,Positive","*Lot:* 2
*Trace:* 03-13.1.3.1
*Type:* Positive

*Pre-condition:*
มีใน UW

*Test Steps:*
กรอกเลข, ระบบ lookup

*Expected Result:*
สถานะ = ""อนุมัติ""

*Test Data:*
เลขพบทั้งคู่"
Test,TC-18-04 ซื้อ — พบใบคำขอ ไม่พบกรมธรรม์,Highest,TS-18,Lot 2,"Lot2,TS-18,Boundary","*Lot:* 2
*Trace:* 03-13.1.3.2
*Type:* Boundary

*Pre-condition:*
มีใบคำขอ

*Test Steps:*
กรอกเลข

*Expected Result:*
แสดงสถานะตามระบบ UW

*Test Data:*
พบใบคำขอ ไม่พบกรมธรรม์"
Test,TC-18-05 ซื้อ — ไม่พบทั้งคู่,Highest,TS-18,Lot 2,"Lot2,TS-18,Negative","*Lot:* 2
*Trace:* 03-13.1.3.3
*Type:* Negative

*Pre-condition:*
-

*Test Steps:*
กรอกเลขไม่มีใน UW

*Expected Result:*
สถานะ = ""ไม่พบข้อมูล"" + แก้ไขเลขได้

*Test Data:*
เลขไม่พบ"
Test,TC-18-06 ซื้อ — ส่ง Auto Email HRA + CC การตลาด,Highest,TS-18,Lot 2,"Lot2,TS-18,Positive","*Lot:* 2
*Trace:* 03-13.1.3
*Type:* Positive

*Pre-condition:*
บันทึกการซื้อ

*Test Steps:*
save

*Expected Result:*
ส่ง Email ถึง HRA, CC การตลาด

*Test Data:*
"
Test,TC-18-07 ติดต่อไม่ได้ ครั้งที่ 1 + เหตุผล,Highest,TS-18,Lot 2,"Lot2,TS-18,Positive","*Lot:* 2
*Trace:* 03-13.2
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
บันทึก ไม่ได้ฝากลีด

*Expected Result:*
บันทึก + ต้องกรอกวันติดตาม ≤7 วัน

*Test Data:*
"
Test,TC-18-08 ติดต่อไม่ได้ ครั้งที่ 2,High,TS-18,Lot 2,"Lot2,TS-18,Positive","*Lot:* 2
*Trace:* 03-13.2
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
บันทึกครั้งที่ 2 (ไม่รับสาย >2 ครั้ง)

*Expected Result:*
บันทึกผล

*Test Data:*
"
Test,TC-18-09 วันติดตามเกิน 7 วัน,Highest,TS-18,Lot 2,"Lot2,TS-18,Boundary","*Lot:* 2
*Trace:* 03-13.3
*Type:* Boundary

*Pre-condition:*
-

*Test Steps:*
เลือกวันที่ +8 วัน

*Expected Result:*
ปฏิเสธ (ไม่เกิน 7 วัน)

*Test Data:*
"
Test,TC-18-10 วันติดตาม = 7 วันพอดี,High,TS-18,Lot 2,"Lot2,TS-18,Boundary","*Lot:* 2
*Trace:* 03-13.3
*Type:* Boundary

*Pre-condition:*
-

*Test Steps:*
+7 วัน

*Expected Result:*
ยอมรับ

*Test Data:*
"
Test,TC-18-11 กฎ 3 ครั้ง — ครั้งที่ 1 เกิน SLA → ดึงคืน,Highest,TS-18,Lot 2,"Lot2,TS-18,Negative","*Lot:* 2
*Trace:* 03-13
*Type:* Negative

*Pre-condition:*
-

*Test Steps:*
เกิน SLA ครั้งที่ 1

*Expected Result:*
ดึง Lead กลับ Re-assign

*Test Data:*
"
Test,TC-18-12 กฎ 3 ครั้ง — ครบ 3 ครั้ง → ปิดเคส,Highest,TS-18,Lot 2,"Lot2,TS-18,Positive","*Lot:* 2
*Trace:* 03-13
*Type:* Positive

*Pre-condition:*
บันทึก 2 ครั้งแล้ว

*Test Steps:*
บันทึกครั้งที่ 3

*Expected Result:*
ปิดเคส (ไม่ว่าซื้อหรือไม่)

*Test Data:*
"
Test,TC-18-13 SLA นับใหม่หลังบันทึกแต่ละครั้ง,Highest,TS-18,Lot 2,"Lot2,TS-18,Positive","*Lot:* 2
*Trace:* 03-13
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
บันทึกครั้งที่ 1→2

*Expected Result:*
SLA เริ่มนับใหม่หลังครั้งก่อน

*Test Data:*
"
Test,TC-18-14 Retention — เก็บ 3 เดือนแล้วลบ,High,TS-18,Lot 2,"Lot2,TS-18,Boundary","*Lot:* 2
*Trace:* 03-13.4
*Type:* Boundary

*Pre-condition:*
Lead ปิดไม่ได้

*Test Steps:*
รอ 3 เดือน

*Expected Result:*
ระบบลบอัตโนมัติหลัง 3 เดือน

*Test Data:*
"
Test,TC-18-15 Calendar — เลือกวันจริง + Note,Medium,TS-18,Lot 2,"Lot2,TS-18,Positive","*Lot:* 2
*Trace:* 03-13
*Type:* Positive

*Pre-condition:*
-

*Test Steps:*
กรอกวันจริง + โน้ต

*Expected Result:*
บันทึกได้

*Test Data:*
"
Test,TC-18-16 แก้ไขเลขใบคำขอ/กรมธรรม์ใหม่,High,TS-18,Lot 2,"Lot2,TS-18,Positive","*Lot:* 2
*Trace:* 03-13.1.3.3
*Type:* Positive

*Pre-condition:*
สถานะไม่พบข้อมูล

*Test Steps:*
แก้เลขแล้ว save

*Expected Result:*
ระบบค้นหา UW ใหม่

*Test Data:*
"
Test,TC-19-01 Automail Daily Report 09:00,High,TS-19,Lot 2,"Lot2,TS-19,Positive","*Lot:* 2
*Trace:* 03-14.1
*Type:* Positive

*Pre-condition:*
มีข้อมูล Lead

*Test Steps:*
รอ 09:00

*Expected Result:*
ส่ง Daily Report แนบ Excel/CSV

*Test Data:*
"
Test,TC-19-02 Export Summary CSV,High,TS-19,Lot 2,"Lot2,TS-19,Positive","*Lot:* 2
*Trace:* 03-14.2
*Type:* Positive

*Pre-condition:*
มีข้อมูล

*Test Steps:*
กด Export CSV

*Expected Result:*
ได้ไฟล์ CSV

*Test Data:*
"
Test,TC-19-03 Export Summary Excel,High,TS-19,Lot 2,"Lot2,TS-19,Positive","*Lot:* 2
*Trace:* 03-14.2
*Type:* Positive

*Pre-condition:*
มีข้อมูล

*Test Steps:*
กด Export Excel

*Expected Result:*
ได้ไฟล์ Excel

*Test Data:*
"
Test,TC-19-04 Raw Data: Lead Source Performance,High,TS-19,Lot 2,"Lot2,TS-19,Positive","*Lot:* 2
*Trace:* 03-14
*Type:* Positive

*Pre-condition:*
มีข้อมูล

*Test Steps:*
เปิด Raw Data

*Expected Result:*
แสดงจำนวน Lead/Assign/ติดต่อได้/ปิดได้ ตามช่องทาง

*Test Data:*
"
Test,TC-04-11 Refresh segment คำนวณสมาชิกใหม่,High,TS-04,Lot 1,"Lot1,TS-04,Positive","*Lot:* 1
*Trace:* 02-3/GAi
*Type:* Positive

*Pre-condition:*
มี Segment ที่มี filter

*Test Steps:*
กด refresh

*Expected Result:*
จำนวนสมาชิกถูก recompute ตามข้อมูลล่าสุด

*Test Data:*
"
Test,TC-04-12 Delete segment,Highest,TS-04,Lot 1,"Lot1,TS-04,Positive","*Lot:* 1
*Trace:* 02-3/GAi
*Type:* Positive

*Pre-condition:*
มี Segment

*Test Steps:*
กด delete + ยืนยัน

*Expected Result:*
segment ถูกลบ; ถ้าผูกกับ campaign ที่ active → เตือน/บล็อก

*Test Data:*
Segment ผูก campaign"
