TCID,Lot,Summary,Priority,Trace,Pre-condition,Step Index,Action,Data,Expected Result
TC-18-08,2,TC-18-08 ติดต่อไม่ได้ ครั้งที่ 2,P2,03-13.2,-,1,บันทึกครั้งที่ 2 (ไม่รับสาย >2 ครั้ง),,บันทึกผล
TC-18-09,2,TC-18-09 วันติดตามเกิน 7 วัน,P1,03-13.3,-,1,เลือกวันที่ +8 วัน,,ปฏิเสธ (ไม่เกิน 7 วัน)
TC-18-10,2,TC-18-10 วันติดตาม = 7 วันพอดี,P2,03-13.3,-,1,+7 วัน,,ยอมรับ
TC-18-11,2,TC-18-11 กฎ 3 ครั้ง — ครั้งที่ 1 เกิน SLA → ดึงคืน,P1,03-13,-,1,เกิน SLA ครั้งที่ 1,,ดึง Lead กลับ Re-assign
TC-18-12,2,TC-18-12 กฎ 3 ครั้ง — ครบ 3 ครั้ง → ปิดเคส,P1,03-13,บันทึก 2 ครั้งแล้ว,1,บันทึกครั้งที่ 3,,ปิดเคส (ไม่ว่าซื้อหรือไม่)
TC-18-13,2,TC-18-13 SLA นับใหม่หลังบันทึกแต่ละครั้ง,P1,03-13,-,1,บันทึกครั้งที่ 1→2,,SLA เริ่มนับใหม่หลังครั้งก่อน
TC-18-14,2,TC-18-14 Retention — เก็บ 3 เดือนแล้วลบ,P2,03-13.4,Lead ปิดไม่ได้,1,รอ 3 เดือน,,ระบบลบอัตโนมัติหลัง 3 เดือน
TC-18-15,2,TC-18-15 Calendar — เลือกวันจริง + Note,P3,03-13,-,1,กรอกวันจริง + โน้ต,,บันทึกได้
TC-18-16,2,TC-18-16 แก้ไขเลขใบคำขอ/กรมธรรม์ใหม่,P2,03-13.1.3.3,สถานะไม่พบข้อมูล,1,แก้เลขแล้ว save,,ระบบค้นหา UW ใหม่
TC-19-01,2,TC-19-01 Automail Daily Report 09:00,P2,03-14.1,มีข้อมูล Lead,1,รอ 09:00,,ส่ง Daily Report แนบ Excel/CSV
TC-19-02,2,TC-19-02 Export Summary CSV,P2,03-14.2,มีข้อมูล,1,กด Export CSV,,ได้ไฟล์ CSV
TC-19-03,2,TC-19-03 Export Summary Excel,P2,03-14.2,มีข้อมูล,1,กด Export Excel,,ได้ไฟล์ Excel
TC-19-04,2,TC-19-04 Raw Data: Lead Source Performance,P2,03-14,มีข้อมูล,1,เปิด Raw Data,,แสดงจำนวน Lead/Assign/ติดต่อได้/ปิดได้ ตามช่องทาง
TC-04-11,1,TC-04-11 Refresh segment คำนวณสมาชิกใหม่,P2,02-3/GAi,มี Segment ที่มี filter,1,กด refresh,,จำนวนสมาชิกถูก recompute ตามข้อมูลล่าสุด
TC-04-12,1,TC-04-12 Delete segment,P1,02-3/GAi,มี Segment,1,กด delete + ยืนยัน,Segment ผูก campaign,segment ถูกลบ; ถ้าผูกกับ campaign ที่ active → เตือน/บล็อก
TC-04-13,1,TC-04-13 แสดงจำนวนลูกค้าใน segment (count badge),P1,02-3/GAi,มี Segment ที่มี filter,1,เปิด segment,,badge แสดงจำนวนตรงกับผล filter จริง
TC-04-14,1,TC-04-14 Customer 360 จากใน segment,P2,02-3/GAi,มีลูกค้าใน segment,1,คลิกลูกค้า 1 ราย,,"แสดงโปรไฟล์ 360 (ช่องทาง, กรมธรรม์, activity) ถูกต้อง"
TC-04-15,3,TC-04-15 Filter channel-presence (มี Email ไม่มี App / ยังไม่เป็น Ocean Connect),P1,02-3/GAi,มีข้อมูลช่องทางลูกค้า,1,"สร้าง segment ""มี Email และยังไม่มี Ocean Club App""",Customer มี/ไม่มีแต่ละช่องทาง,ได้เฉพาะลูกค้าที่ email=true AND app=false
TC-04-16,1,"TC-04-16 Filter numeric (Health Score, CLV≥100k, เบี้ย<20k)",P1,02-3/GAi,มีข้อมูล CLV/Health Score,1,"สร้าง segment ""App=No, CLV≥100,000""",Customer CLV หลายระดับ,ได้เฉพาะลูกค้าที่ค่าตรงตามตัวเลข
TC-04-17,1,TC-04-17 Filter behavioral — เข้าหน้าบทความภาษี/ออมทรัพย์,P2,02-3/GAi,มี event GA4,1,filter จาก web-visit behavior,GA4 event บทความ,เฉพาะลูกค้าที่มี event เข้าหน้าบทความนั้น (ตรวจ data source GA4)
TC-07-10,3,TC-07-10 Refresh / Delete message,P2,02-6/GAi,มี Message,1,กด refresh แล้ว delete,Message ผูก campaign,refresh โหลดค่าใหม่; delete ลบได้ (เตือนถ้าถูกใช้ใน campaign)
TC-07-11,3,TC-07-11 แสดง Message ID + จำนวน credit บนการ์ด,P2,02-6/GAi,มี Message,1,เปิดรายการ message,,แสดง Message ID (running no) + credit ที่ message จะใช้ ถูกต้อง
TC-06-13,3,TC-06-13 Add contact source = เลือก Segment,P1,02-5/GAi,มี Segment,1,ในcampaign กด Add contact source → เลือก segment,,สมาชิกของ segment เข้าสู่ flow เป็น contact ของ campaign
TC-06-14,3,TC-06-14 Decision node แตกเส้นทาง,P1,02-5/GAi,มี flow + contact,1,"วาง Decision (เช่น ""เปิดอ่าน email?"")",,contact ถูกแยกเข้า branch yes/no ถูกต้อง
TC-06-15,3,TC-06-15 Condition node ตาม Contact tags,P1,02-5/GAi,contact มี tag,1,"ตั้ง condition tag = ""VIP""",Contact มี/ไม่มี tag,เฉพาะ contact ที่มี tag ผ่านเข้า branch นั้น
TC-06-16,3,TC-06-16 Action: Send email + email builder,P1,02-5/GAi,-,1,เพิ่ม action Send email → ออกแบบใน builder,,อีเมลถูกสร้าง/ส่งตามที่ออกแบบ (รูป+ข้อความ+ลิงก์)
TC-06-17,3,TC-06-17 Action: Send text message (เลือก Message เดิม),P1,02-5/GAi,มี Message,1,เพิ่ม action → Select Message ที่มีอยู่,,ผูก message เดิมเข้า action ได้ ส่งถูกช่องทาง
TC-06-18,3,TC-06-18 Action: Mobile app message (push),P2,02-5/GAi,contact มี app,1,เพิ่ม action mobile app message,,push เข้า Ocean Club App ของ contact ที่มี app
TC-06-19,3,TC-06-19 Action: Send a webhook,P2,02-5/GAi,มี endpoint,1,ตั้ง webhook URL ใน action,webhook endpoint ทดสอบ,ระบบยิง HTTP request พร้อม payload contact เมื่อ contact ถึง node
TC-06-20,3,TC-06-20 Action timing / delay ราย step,P2,02-5/GAi,flow มีหลาย action,1,ตั้ง delay 2 วัน ก่อน action ถัดไป,,action ถัดไปทำงานหลังครบ delay ไม่ใช่ทันที
TC-06-21,3,TC-06-21 Upload segment → Facebook Custom Audience (Lookalike),P2,02-4/GAi,มี Segment,1,จาก segment กด upload → FB,,audience ถูกสร้างใน FB Ads (custom + lookalike base)
TC-06-22,3,TC-06-22 Upload segment → Google Customer Match,P2,02-4/GAi,มี Segment,1,จาก segment กด upload → Google,,customer match list ถูกสร้างใน Google Ads
TC-06-23,3,TC-06-23 E2E flow: Segment → Decision → Condition → multi Action,P1,02-5/GAi,ส่วนประกอบครบ,1,ประกอบ flow ครบ แล้ว publish,flow ครบทุก node,contact ไหลผ่านทุก node และได้รับ message ตาม branch ถูกต้อง
TC-10-06,3,TC-10-06 Total User ≠ Total Send,P1,02-10/GAi,"campaign 1,000 contact ส่งจริง 980",1,ตรวจ SUMMARY,campaign 1000/ส่ง 980,"Total User=1,000, Total Send=980 (แยกชัด)"
TC-10-07,3,TC-10-07 Total Credit ต่อ campaign,P1,02-10/GAi,ส่ง SMS ไทยยาว multi-part 980 ราย,1,ตรวจ Total Credit,SMS ไทยยาว,Total Credit = ผลรวม credit ทุก segment ของทุกข้อความ ถูกต้อง
TC-10-08-b,3,TC-10-08-b Total Fail สรุปใน summary,P1,02-10/GAi,ส่ง fail 20 ราย,1,ตรวจ Total Fail,ส่ง fail 20,Total Fail=20 และ Total Send+Total Fail = Total User
TC-10-09,3,TC-10-09 Drill-down รายคลิกต่อ campaign,P2,02-10/GAi,campaign มีผลคลิก,1,คลิกเข้า campaign 1 ใน SUMMARY,,แสดงรายชื่อ/จำนวนคลิก + Unique Click ของ campaign นั้น
TC-10-10,3,TC-10-10 SUMMARY header ครบทุกคอลัมน์,P2,02-10/GAi,มีข้อมูล campaign,1,เปิดหน้า SUMMARY,,"มีครบ: Campaign ID, Name, Total User, Total Send, Total Credit, Total Fail, Total Click, Unique Click"
