Section,Lot,Title,Type,Priority,Preconditions,Steps,Expected Result,References,Test Data
TS-18,Lot 2,TC-18-03 ซื้อ — พบใบคำขอ+กรมธรรม์,Positive,P1,มีใน UW,"กรอกเลข, ระบบ lookup","สถานะ = ""อนุมัติ""",03-13.1.3.1,เลขพบทั้งคู่
TS-18,Lot 2,TC-18-04 ซื้อ — พบใบคำขอ ไม่พบกรมธรรม์,Boundary,P1,มีใบคำขอ,กรอกเลข,แสดงสถานะตามระบบ UW,03-13.1.3.2,พบใบคำขอ ไม่พบกรมธรรม์
TS-18,Lot 2,TC-18-05 ซื้อ — ไม่พบทั้งคู่,Negative,P1,-,กรอกเลขไม่มีใน UW,"สถานะ = ""ไม่พบข้อมูล"" + แก้ไขเลขได้",03-13.1.3.3,เลขไม่พบ
TS-18,Lot 2,TC-18-06 ซื้อ — ส่ง Auto Email HRA + CC การตลาด,Positive,P1,บันทึกการซื้อ,save,"ส่ง Email ถึง HRA, CC การตลาด",03-13.1.3,
TS-18,Lot 2,TC-18-07 ติดต่อไม่ได้ ครั้งที่ 1 + เหตุผล,Positive,P1,-,บันทึก ไม่ได้ฝากลีด,บันทึก + ต้องกรอกวันติดตาม ≤7 วัน,03-13.2,
TS-18,Lot 2,TC-18-08 ติดต่อไม่ได้ ครั้งที่ 2,Positive,P2,-,บันทึกครั้งที่ 2 (ไม่รับสาย >2 ครั้ง),บันทึกผล,03-13.2,
TS-18,Lot 2,TC-18-09 วันติดตามเกิน 7 วัน,Boundary,P1,-,เลือกวันที่ +8 วัน,ปฏิเสธ (ไม่เกิน 7 วัน),03-13.3,
TS-18,Lot 2,TC-18-10 วันติดตาม = 7 วันพอดี,Boundary,P2,-,+7 วัน,ยอมรับ,03-13.3,
TS-18,Lot 2,TC-18-11 กฎ 3 ครั้ง — ครั้งที่ 1 เกิน SLA → ดึงคืน,Negative,P1,-,เกิน SLA ครั้งที่ 1,ดึง Lead กลับ Re-assign,03-13,
TS-18,Lot 2,TC-18-12 กฎ 3 ครั้ง — ครบ 3 ครั้ง → ปิดเคส,Positive,P1,บันทึก 2 ครั้งแล้ว,บันทึกครั้งที่ 3,ปิดเคส (ไม่ว่าซื้อหรือไม่),03-13,
TS-18,Lot 2,TC-18-13 SLA นับใหม่หลังบันทึกแต่ละครั้ง,Positive,P1,-,บันทึกครั้งที่ 1→2,SLA เริ่มนับใหม่หลังครั้งก่อน,03-13,
TS-18,Lot 2,TC-18-14 Retention — เก็บ 3 เดือนแล้วลบ,Boundary,P2,Lead ปิดไม่ได้,รอ 3 เดือน,ระบบลบอัตโนมัติหลัง 3 เดือน,03-13.4,
TS-18,Lot 2,TC-18-15 Calendar — เลือกวันจริง + Note,Positive,P3,-,กรอกวันจริง + โน้ต,บันทึกได้,03-13,
TS-18,Lot 2,TC-18-16 แก้ไขเลขใบคำขอ/กรมธรรม์ใหม่,Positive,P2,สถานะไม่พบข้อมูล,แก้เลขแล้ว save,ระบบค้นหา UW ใหม่,03-13.1.3.3,
TS-19,Lot 2,TC-19-01 Automail Daily Report 09:00,Positive,P2,มีข้อมูล Lead,รอ 09:00,ส่ง Daily Report แนบ Excel/CSV,03-14.1,
TS-19,Lot 2,TC-19-02 Export Summary CSV,Positive,P2,มีข้อมูล,กด Export CSV,ได้ไฟล์ CSV,03-14.2,
TS-19,Lot 2,TC-19-03 Export Summary Excel,Positive,P2,มีข้อมูล,กด Export Excel,ได้ไฟล์ Excel,03-14.2,
TS-19,Lot 2,TC-19-04 Raw Data: Lead Source Performance,Positive,P2,มีข้อมูล,เปิด Raw Data,แสดงจำนวน Lead/Assign/ติดต่อได้/ปิดได้ ตามช่องทาง,03-14,
TS-04,Lot 1,TC-04-11 Refresh segment คำนวณสมาชิกใหม่,Positive,P2,มี Segment ที่มี filter,กด refresh,จำนวนสมาชิกถูก recompute ตามข้อมูลล่าสุด,02-3/GAi,
TS-04,Lot 1,TC-04-12 Delete segment,Positive,P1,มี Segment,กด delete + ยืนยัน,segment ถูกลบ; ถ้าผูกกับ campaign ที่ active → เตือน/บล็อก,02-3/GAi,Segment ผูก campaign
TS-04,Lot 1,TC-04-13 แสดงจำนวนลูกค้าใน segment (count badge),Positive,P1,มี Segment ที่มี filter,เปิด segment,badge แสดงจำนวนตรงกับผล filter จริง,02-3/GAi,
TS-04,Lot 1,TC-04-14 Customer 360 จากใน segment,Positive,P2,มีลูกค้าใน segment,คลิกลูกค้า 1 ราย,"แสดงโปรไฟล์ 360 (ช่องทาง, กรมธรรม์, activity) ถูกต้อง",02-3/GAi,
TS-04,Lot 3,TC-04-15 Filter channel-presence (มี Email ไม่มี App / ยังไม่เป็น Ocean Connect),Positive,P1,มีข้อมูลช่องทางลูกค้า,"สร้าง segment ""มี Email และยังไม่มี Ocean Club App""",ได้เฉพาะลูกค้าที่ email=true AND app=false,02-3/GAi,Customer มี/ไม่มีแต่ละช่องทาง
TS-04,Lot 1,"TC-04-16 Filter numeric (Health Score, CLV≥100k, เบี้ย<20k)",Positive,P1,มีข้อมูล CLV/Health Score,"สร้าง segment ""App=No, CLV≥100,000""",ได้เฉพาะลูกค้าที่ค่าตรงตามตัวเลข,02-3/GAi,Customer CLV หลายระดับ
TS-04,Lot 1,TC-04-17 Filter behavioral — เข้าหน้าบทความภาษี/ออมทรัพย์,Boundary,P2,มี event GA4,filter จาก web-visit behavior,เฉพาะลูกค้าที่มี event เข้าหน้าบทความนั้น (ตรวจ data source GA4),02-3/GAi,GA4 event บทความ
TS-07,Lot 3,TC-07-10 Refresh / Delete message,Positive,P2,มี Message,กด refresh แล้ว delete,refresh โหลดค่าใหม่; delete ลบได้ (เตือนถ้าถูกใช้ใน campaign),02-6/GAi,Message ผูก campaign
TS-07,Lot 3,TC-07-11 แสดง Message ID + จำนวน credit บนการ์ด,Positive,P2,มี Message,เปิดรายการ message,แสดง Message ID (running no) + credit ที่ message จะใช้ ถูกต้อง,02-6/GAi,
TS-06,Lot 3,TC-06-13 Add contact source = เลือก Segment,Positive,P1,มี Segment,ในcampaign กด Add contact source → เลือก segment,สมาชิกของ segment เข้าสู่ flow เป็น contact ของ campaign,02-5/GAi,
TS-06,Lot 3,TC-06-14 Decision node แตกเส้นทาง,Positive,P1,มี flow + contact,"วาง Decision (เช่น ""เปิดอ่าน email?"")",contact ถูกแยกเข้า branch yes/no ถูกต้อง,02-5/GAi,
TS-06,Lot 3,TC-06-15 Condition node ตาม Contact tags,Positive,P1,contact มี tag,"ตั้ง condition tag = ""VIP""",เฉพาะ contact ที่มี tag ผ่านเข้า branch นั้น,02-5/GAi,Contact มี/ไม่มี tag
TS-06,Lot 3,TC-06-16 Action: Send email + email builder,Positive,P1,-,เพิ่ม action Send email → ออกแบบใน builder,อีเมลถูกสร้าง/ส่งตามที่ออกแบบ (รูป+ข้อความ+ลิงก์),02-5/GAi,
TS-06,Lot 3,TC-06-17 Action: Send text message (เลือก Message เดิม),Positive,P1,มี Message,เพิ่ม action → Select Message ที่มีอยู่,ผูก message เดิมเข้า action ได้ ส่งถูกช่องทาง,02-5/GAi,
TS-06,Lot 3,TC-06-18 Action: Mobile app message (push),Positive,P2,contact มี app,เพิ่ม action mobile app message,push เข้า Ocean Club App ของ contact ที่มี app,02-5/GAi,
TS-06,Lot 3,TC-06-19 Action: Send a webhook,Positive,P2,มี endpoint,ตั้ง webhook URL ใน action,ระบบยิง HTTP request พร้อม payload contact เมื่อ contact ถึง node,02-5/GAi,webhook endpoint ทดสอบ
TS-06,Lot 3,TC-06-20 Action timing / delay ราย step,Boundary,P2,flow มีหลาย action,ตั้ง delay 2 วัน ก่อน action ถัดไป,action ถัดไปทำงานหลังครบ delay ไม่ใช่ทันที,02-5/GAi,
TS-06,Lot 3,TC-06-21 Upload segment → Facebook Custom Audience (Lookalike),Positive,P2,มี Segment,จาก segment กด upload → FB,audience ถูกสร้างใน FB Ads (custom + lookalike base),02-4/GAi,
TS-06,Lot 3,TC-06-22 Upload segment → Google Customer Match,Positive,P2,มี Segment,จาก segment กด upload → Google,customer match list ถูกสร้างใน Google Ads,02-4/GAi,
TS-06,Lot 3,TC-06-23 E2E flow: Segment → Decision → Condition → multi Action,Positive,P1,ส่วนประกอบครบ,ประกอบ flow ครบ แล้ว publish,contact ไหลผ่านทุก node และได้รับ message ตาม branch ถูกต้อง,02-5/GAi,flow ครบทุก node
TS-10,Lot 3,TC-10-06 Total User ≠ Total Send,Boundary,P1,"campaign 1,000 contact ส่งจริง 980",ตรวจ SUMMARY,"Total User=1,000, Total Send=980 (แยกชัด)",02-10/GAi,campaign 1000/ส่ง 980
TS-10,Lot 3,TC-10-07 Total Credit ต่อ campaign,Positive,P1,ส่ง SMS ไทยยาว multi-part 980 ราย,ตรวจ Total Credit,Total Credit = ผลรวม credit ทุก segment ของทุกข้อความ ถูกต้อง,02-10/GAi,SMS ไทยยาว
TS-10,Lot 3,TC-10-08-b Total Fail สรุปใน summary,Positive,P1,ส่ง fail 20 ราย,ตรวจ Total Fail,Total Fail=20 และ Total Send+Total Fail = Total User,02-10/GAi,ส่ง fail 20
TS-10,Lot 3,TC-10-09 Drill-down รายคลิกต่อ campaign,Positive,P2,campaign มีผลคลิก,คลิกเข้า campaign 1 ใน SUMMARY,แสดงรายชื่อ/จำนวนคลิก + Unique Click ของ campaign นั้น,02-10/GAi,
TS-10,Lot 3,TC-10-10 SUMMARY header ครบทุกคอลัมน์,Positive,P2,มีข้อมูล campaign,เปิดหน้า SUMMARY,"มีครบ: Campaign ID, Name, Total User, Total Send, Total Credit, Total Fail, Total Click, Unique Click",02-10/GAi,
